"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32308","test_negative_scenarios[Delhi-Bangalore-1-2-Number of infants cannot be more than adults]","tests","2026-05-22","passed","2026-05-22","","test_negative_flights","",""
"","31797","test_negative_scenarios[Mumbai-Mumbai-1-0-cannot be the same]","tests","2026-05-22","passed","2026-05-22","","test_negative_flights","",""
"","44212","test_positive_search_scenarios[Mumbai-Bengaluru-travel_date1-cheapest]","tests","2026-05-22","passed","2026-05-22","","test_positive_flights","",""
"","44578","test_positive_search_scenarios[Hyderabad-Chennai-travel_date3-morning]","tests","2026-05-22","passed","2026-05-22","","test_positive_flights","",""
"","44717","test_positive_search_scenarios[Bengaluru-Hyderabad-travel_date2-Air India]","tests","2026-05-22","passed","2026-05-22","","test_positive_flights","",""
"","43881","test_positive_search_scenarios[New Delhi-Mumbai-travel_date0-non_stop]","tests","2026-05-22","passed","2026-05-22","","test_positive_flights","",""
"","79279","test_complete_flight_booking_flow","tests","2026-05-22","passed","2026-05-22","","test_e2e_booking","",""
